name,countAll,countYes,countNo,,,,,,,,
pivot,63,29,34,,,,,,,,
threadpool,63,16,47,,,,,,,,
wcf-data-services,62,10,52,,,,,,,,
moq,62,38,24,,,,,,,,
group,62,46,16,,,,,,,,
arduino,62,38,24,,,,,,,,
sas,62,40,22,,,,,,,,
deserialization,62,9,53,,,,,,,,
console-application,62,27,35,,,,,,,,
cordova,62,22,40,,,,,,,,
algebraic-number-theory,62,0,62,,,,,,,,
dual-boot,62,30,32,,,,,,,,
file-management,62,0,62,,,,,,,,
zend-form,62,22,40,,,,,,,,
windows-update,62,36,26,,,,,,,,
draggable,62,35,27,,,,,,,,
gpl,62,30,32,,,,,,,,
services,62,33,29,,,,,,,,
jruby,62,37,25,,,,,,,,
xquery,62,39,23,,,,,,,,
jax-ws,61,22,39,,,,,,,,
classloader,61,7,54,,,,,,,,
response,61,32,29,,,,,,,,
json.net,61,30,31,,,,,,,,
opengl-es-2.0,61,14,47,,,,,,,,
power,61,31,30,,,,,,,,
pages,61,43,18,,,,,,,,
finite-groups,61,2,59,,,,,,,,
release,61,28,33,,,,,,,,
add,61,43,18,,,,,,,,
image-manipulation,61,2,59,,,,,,,,
element,61,46,15,,,,,,,,
parent-child,61,12,49,,,,,,,,
models,61,35,26,,,,,,,,
dreamweaver,61,32,29,,,,,,,,
coordinates,61,32,29,,,,,,,,
httpclient,61,28,33,,,,,,,,
facebook-fql,61,9,52,,,,,,,,
commit,61,31,30,,,,,,,,
facebook-php-sdk,61,6,55,,,,,,,,
unity3d,61,19,42,,,,,,,,
box2d,61,32,29,,,,,,,,
binary-tree,61,39,22,,,,,,,,
exe,61,26,35,,,,,,,,
taskbar,61,42,19,,,,,,,,
ipc,61,23,38,,,,,,,,
mef,61,36,25,,,,,,,,
virus,61,24,37,,,,,,,,
task,61,40,21,,,,,,,,
modal,60,39,21,,,,,,,,
scheduling,60,26,34,,,,,,,,
scale,60,19,41,,,,,,,,
common-lisp,60,21,39,,,,,,,,
scaling,60,20,40,,,,,,,,
windows-phone,60,34,26,,,,,,,,
push,60,32,28,,,,,,,,
flash-cs5,60,8,52,,,,,,,,
local-storage,60,9,51,,,,,,,,
subprocess,60,25,35,,,,,,,,
bundle,60,33,27,,,,,,,,
panel,60,39,21,,,,,,,,
representation-theory,60,0,60,,,,,,,,
mod-wsgi,60,2,58,,,,,,,,
object-oriented,60,9,51,,,,,,,,
nuget,60,48,12,,,,,,,,
live,60,29,31,,,,,,,,
crontab,60,25,35,,,,,,,,
workflow-foundation-4,60,2,58,,,,,,,,
sharedpreferences,60,25,35,,,,,,,,
seam,60,24,36,,,,,,,,
default,60,41,19,,,,,,,,
uigesturerecognizer,60,7,53,,,,,,,,
bibliographies,60,2,58,,,,,,,,
registration,59,21,38,,,,,,,,
umbraco,59,38,21,,,,,,,,
social-networking,59,7,52,,,,,,,,
software-engineering,59,4,55,,,,,,,,
roles,59,38,21,,,,,,,,
java-ee-6,59,9,50,,,,,,,,
javamail,59,22,37,,,,,,,,
glsl,59,29,30,,,,,,,,
z-index,59,32,27,,,,,,,,
mamp,59,41,18,,,,,,,,
jbutton,59,31,28,,,,,,,,
battery,59,40,19,,,,,,,,
autohotkey,59,28,31,,,,,,,,
tomcat7,59,4,55,,,,,,,,
actionbarsherlock,59,21,38,,,,,,,,
compiling,59,9,50,,,,,,,,
repeater,59,42,17,,,,,,,,
code-coverage,59,24,35,,,,,,,,
aop,58,15,43,,,,,,,,
analytics,58,33,25,,,,,,,,
canon,58,39,19,,,,,,,,
godaddy,58,28,30,,,,,,,,
echo,58,35,23,,,,,,,,
paging,58,42,16,,,,,,,,
transform,58,23,35,,,,,,,,
gdi+,58,20,38,,,,,,,,
cpu-usage,58,24,34,,,,,,,,
windows-authentication,58,19,39,,,,,,,,
mips,58,41,17,,,,,,,,
pear,58,35,23,,,,,,,,
legal,58,11,47,,,,,,,,
color,58,32,26,,,,,,,,
snmp,58,34,24,,,,,,,,
listings,58,33,25,,,,,,,,
admob,58,37,21,,,,,,,,
processing,58,18,40,,,,,,,,
grouping,58,45,13,,,,,,,,
openoffice.org,58,3,55,,,,,,,,
lists,58,19,39,,,,,,,,
scp,58,34,24,,,,,,,,
jfreechart,57,34,23,,,,,,,,
mime-types,57,4,53,,,,,,,,
kvm-virtualization,57,1,56,,,,,,,,
parent,57,29,28,,,,,,,,
kendo-ui,57,13,44,,,,,,,,
title,57,40,17,,,,,,,,
httpd,57,8,49,,,,,,,,
daemon,57,33,24,,,,,,,,
wildcard,57,42,15,,,,,,,,
wireshark,57,26,31,,,,,,,,
development-environment,57,11,46,,,,,,,,
repository-pattern,57,20,37,,,,,,,,
sip,57,28,29,,,,,,,,
guice,57,33,24,,,,,,,,
mysqldump,57,22,35,,,,,,,,
vlc,57,37,20,,,,,,,,
management,57,14,43,,,,,,,,
nsuserdefaults,57,26,31,,,,,,,,
web-crawler,57,11,46,,,,,,,,
password,57,44,13,,,,,,,,
equipment-recommendation,57,1,56,,,,,,,,
alert,57,36,21,,,,,,,,
oledb,57,22,35,,,,,,,,
clang,57,24,33,,,,,,,,
zend-framework2,57,0,57,,,,,,,,
loading,57,46,11,,,,,,,,
android-viewpager,57,9,48,,,,,,,,
openmp,57,45,12,,,,,,,,
access-vba,57,8,49,,,,,,,,
vmware-workstation,57,17,40,,,,,,,,
webpage,57,15,42,,,,,,,,
google-calendar,56,38,18,,,,,,,,
fullscreen,56,16,40,,,,,,,,
uisplitviewcontroller,56,17,39,,,,,,,,
jdk,56,25,31,,,,,,,,
css-transitions,56,5,51,,,,,,,,
sphinx,56,44,12,,,,,,,,
simulation,56,13,43,,,,,,,,
scrollview,56,31,25,,,,,,,,
formula,56,26,30,,,,,,,,
restkit,56,43,13,,,,,,,,
neural-network,56,33,23,,,,,,,,
jndi,56,32,24,,,,,,,,
neo4j,56,30,26,,,,,,,,
war,56,33,23,,,,,,,,
power-management,56,3,53,,,,,,,,
theory,56,4,52,,,,,,,,
obfuscation,56,11,45,,,,,,,,
symfony,56,29,27,,,,,,,,
sybase,56,32,24,,,,,,,,
centos5,56,1,55,,,,,,,,
expression,56,38,18,,,,,,,,
javabeans,56,4,52,,,,,,,,
pdftex,56,2,54,,,,,,,,
store,56,26,30,,,,,,,,
command-line-arguments,56,10,46,,,,,,,,
network-share,56,10,46,,,,,,,,
visibility,56,19,37,,,,,,,,
powershell-v2.0,56,0,56,,,,,,,,
dynamics-crm,56,13,43,,,,,,,,
enterprise-library,55,21,34,,,,,,,,
slideshow,55,34,21,,,,,,,,
static-libraries,55,6,49,,,,,,,,
ravendb,55,38,17,,,,,,,,
mstest,55,22,33,,,,,,,,
activemq,55,30,25,,,,,,,,
lightbox,55,29,26,,,,,,,,
android-linearlayout,55,6,49,,,,,,,,
ado,55,20,35,,,,,,,,
boost-asio,55,19,36,,,,,,,,
soa,55,21,34,,,,,,,,
subclass,55,27,28,,,,,,,,
instance,55,34,21,,,,,,,,
shortcode,55,38,17,,,,,,,,
copy-paste,55,7,48,,,,,,,,
mpi,55,31,24,,,,,,,,
msmq,55,41,14,,,,,,,,
windows-server,55,21,34,,,,,,,,
drupal-views,55,8,47,,,,,,,,
android-service,55,15,40,,,,,,,,
tuples,55,42,13,,,,,,,,
line-breaking,55,1,54,,,,,,,,
definition,55,22,33,,,,,,,,
webclient,54,30,24,,,,,,,,
containers,54,23,31,,,,,,,,
differential-topology,54,1,53,,,,,,,,
sharing,54,26,28,,,,,,,,
sata,54,38,16,,,,,,,,
lotus-notes,54,24,30,,,,,,,,
aggregate-functions,54,0,54,,,,,,,,
internet-connection,54,12,42,,,,,,,,
integration-testing,54,8,46,,,,,,,,
netty,54,41,13,,,,,,,,
accordion,54,44,10,,,,,,,,
gis,54,6,48,,,,,,,,
rules,54,28,26,,,,,,,,
ienumerable,54,12,42,,,,,,,,
pygtk,54,20,34,,,,,,,,
uipickerview,54,32,22,,,,,,,,
mediawiki,54,31,23,,,,,,,,
android-tabhost,54,6,48,,,,,,,,
sitecore,54,39,15,,,,,,,,
asymptotics,54,17,37,,,,,,,,
href,54,28,26,,,,,,,,
comet,54,21,33,,,,,,,,
osx-mountain-lion,54,3,51,,,,,,,,
profile,54,29,25,,,,,,,,
whitespace,54,26,28,,,,,,,,
config,54,18,36,,,,,,,,
actionscript-2,54,4,50,,,,,,,,
drawable,54,31,23,,,,,,,,
actionmailer,54,21,33,,,,,,,,
multiprocessing,54,18,36,,,,,,,,
kohana,54,42,12,,,,,,,,
dotnetnuke,53,20,33,,,,,,,,
xslt-1.0,53,5,48,,,,,,,,
block,53,33,20,,,,,,,,
bit-manipulation,53,2,51,,,,,,,,
xib,53,29,24,,,,,,,,
haml,53,27,26,,,,,,,,
subsonic,53,41,12,,,,,,,,
entity-framework-5,53,6,47,,,,,,,,
ubuntu-9.10,53,16,37,,,,,,,,
filestream,53,21,32,,,,,,,,
32bit-64bit,53,5,48,,,,,,,,
elasticsearch,53,35,18,,,,,,,,
private,53,37,16,,,,,,,,
margin,53,22,31,,,,,,,,
asp.net-4.0,53,5,48,,,,,,,,
package-management,53,0,53,,,,,,,,
nspredicate,53,29,24,,,,,,,,
outlook-2007,53,21,32,,,,,,,,
numbering,53,41,12,,,,,,,,
hilbert-spaces,53,4,49,,,,,,,,
attachments,53,28,25,,,,,,,,
dvd,53,38,15,,,,,,,,
close,53,27,26,,,,,,,,
swig,53,36,17,,,,,,,,
browser-addons,53,0,53,,,,,,,,
android-camera,53,13,40,,,,,,,,
asset-pipeline,52,10,42,,,,,,,,
banach-spaces,52,2,50,,,,,,,,
data.frame,52,10,42,,,,,,,,
odata,52,28,24,,,,,,,,
llvm,52,28,24,,,,,,,,
distinct,52,30,22,,,,,,,,
converter,52,16,36,,,,,,,,
desktop-application,52,18,34,,,,,,,,
circle,52,37,15,,,,,,,,
uac,52,20,32,,,,,,,,
javadoc,52,39,13,,,,,,,,
wcf-ria-services,52,16,36,,,,,,,,
inputstream,52,13,39,,,,,,,,
dos,52,22,30,,,,,,,,
bing-maps,52,20,32,,,,,,,,
delphi-xe2,52,12,40,,,,,,,,
vi,52,30,22,,,,,,,,
android-contentprovider,52,2,50,,,,,,,,
bookmarks,52,35,17,,,,,,,,
partial-views,52,6,46,,,,,,,,
footer,52,41,11,,,,,,,,
self-improvement,52,0,52,,,,,,,,
best-practices,52,6,46,,,,,,,,
aggregate,52,21,31,,,,,,,,
code-first,52,28,24,,,,,,,,
itext,52,30,22,,,,,,,,
apk,52,30,22,,,,,,,,
bitwise,52,24,28,,,,,,,,
collision-detection,52,18,34,,,,,,,,
ironpython,52,36,16,,,,,,,,
com-interop,52,7,45,,,,,,,,
c#-2.0,52,1,51,,,,,,,,
requirejs,52,25,27,,,,,,,,
lxml,52,28,24,,,,,,,,
generator,52,36,16,,,,,,,,
tableview,51,21,30,,,,,,,,
vimrc,51,2,49,,,,,,,,
wpfdatagrid,51,0,51,,,,,,,,
clearcase,51,36,15,,,,,,,,
intellisense,51,30,21,,,,,,,,
virtualenv,51,31,20,,,,,,,,
san,51,16,35,,,,,,,,
files,51,38,13,,,,,,,,
aix,51,26,25,,,,,,,,
observablecollection,51,16,35,,,,,,,,
shutdown,51,26,25,,,,,,,,
html-agility-pack,51,13,38,,,,,,,,
textmate,51,34,17,,,,,,,,
finance,51,0,51,,,,,,,,
xul,51,18,33,,,,,,,,
bsod,51,20,31,,,,,,,,
cruisecontrol.net,51,24,27,,,,,,,,
transformation,51,20,31,,,,,,,,
texture,51,39,12,,,,,,,,
speech-recognition,51,22,29,,,,,,,,
vmware-esx,51,10,41,,,,,,,,
reverse-engineering,51,10,41,,,,,,,,
blocking,51,30,21,,,,,,,,
equals,51,21,30,,,,,,,,
cvs,51,33,18,,,,,,,,
career-development,51,1,50,,,,,,,,
